"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
SLC2A13,6.405565915,7.217280437,6.110214178,6.110214178,5.80655515,7.104846734,6.992034015,5.34479705,6.110214178,5.717894708,5.352686087,5.043364037,5.887795495
SLC2A13,7.37892121,8.205866696,7.646169664,7.252072422,6.760903474,8.18157665,8.266270581,6.61654733,7.087851344,6.795314313,6.504476915,5.948993257,7.285477783
TUBA3FP,5.92872207,5.473208041,6.336725653,6.200835963,6.142463037,5.086325281,6.495127945,5.807116183,6.29468775,5.490070447,4.429812297,4.317816316,6.61815709
CARD16,8.867998558,5.687595883,5.45977735,6.777025853,8.256527487,5.539001105,5.427204416,4.868841052,5.414355353,4.290314187,5.219706046,5.427204416,5.736365162
DUSP19,5.287510878,5.481383543,5.854576408,5.892958602,5.127674938,5.352244475,6.34262931,6.226414532,5.854576408,5.854576408,5.125315308,5.854576408,5.854576408
DUSP19,2.863206703,2.496589909,2.575717517,2.976091091,2.863206703,2.970602089,2.991018823,2.991018823,2.991018823,2.496589909,2.304847728,2.863206703,3.914313909
CYB5D1,8.362992912,8.285594652,7.852976311,8.419608076,7.493904776,8.623239879,8.744014377,9.794835817,8.686043635,7.619435504,7.68479989,7.302252503,8.074278645
NMNAT2,10.42622398,10.20606289,9.878757677,9.459663783,8.521391462,9.900134283,9.193710231,9.197684062,9.651586207,9.048405834,9.42699036,8.986056944,9.71910339
CREG2,2.322808902,2.240090673,2.322808902,2.365138068,2.240090673,2.322808902,2.240090673,2.322808902,2.70340046,2.322808902,2.327653171,2.322808902,2.258552317
SPEF2,7.706445841,8.407282662,7.373816245,7.530242628,6.23190785,8.199303131,8.006319774,8.631798,7.680186496,7.162390357,5.710601931,6.940565507,7.859686554
CASC4,4.061879521,3.276227165,4.410847278,3.276227165,4.90946051,2.903244432,3.851600047,3.119601166,2.754176948,3.622308146,6.723471515,6.516508496,7.124377328
FGF1,3.118979567,2.240090673,2.243683622,3.361227074,2.329698936,2.240090673,3.445861811,2.297066474,5.007690612,2.809952451,2.706818988,2.50688396,3.365076873
ARPP21,5.589470178,2.592639099,2.257233882,2.240090673,2.240090673,2.240090673,2.898024086,5.438665959,2.240090673,2.240090673,2.391204354,2.639688483,2.240090673
ADAMTS17,2.240090673,2.240090673,2.240090673,2.240090673,4.239852349,4.962625523,2.240090673,2.240090673,2.240090673,2.240090673,2.354555094,3.400829012,2.240090673
